name,opening_date,opening_gross,opening_theaters,studio,theaters,total_gross,url
Trial by Jury,9/9/1994,"$2,855,852","1,401",WB,"1,401","$6,971,777",/movies/?id=trialbyjury.htm
The Trials of Darryl Hunt,6/15/2007,$619,2,Think,2,"$1,217",/movies/?id=trialsofdarrylhunt.htm
The Trials of Henry Kissinger,9/25/2002,"$14,667",1,FRun,8,"$516,726",/movies/?id=trialsofhenrykissinger.htm
The Trials of Muhammad Ali,8/23/2013,"$2,980",1,KL,10,"$59,081",/movies/?id=trialsofmuhammadali.htm
The Tribe,6/17/2015,"$11,094",1,Drft.,13,"$150,564",/movies/?id=tribe2015.htm
Tribes of Palos Verdes,12/1/2017,n/a,n/a,IFC,n/a,n/a,/movies/?id=tribesofpalosverdes.htm
Tribute,12/14/1980,n/a,n/a,Fox,n/a,"$9,000,000",/movies/?id=tribute.htm
Trick,7/23/1999,"$118,594",6,FL,94,"$2,087,228",/movies/?id=trick.htm
Trick 'r Treat,2008,n/a,n/a,WB,n/a,n/a,/movies/?id=trickrtreat.htm
Trick or Treat,10/24/1986,"$2,912,687","1,267",DEG,"1,267","$6,797,218",/movies/?id=trickortreat.htm
The Trick or Treaters,TBD,n/a,n/a,Wein.,n/a,n/a,/movies/?id=trickortreaters.htm
Tricked,12/13/2013,"$1,930",1,KL,1,"$3,533",/movies/?id=tricked.htm
The Trigger Effect,8/30/1996,"$1,887,791",524,Gram.,524,"$3,622,979",/movies/?id=triggereffect.htm
Trigun: Badlands Rumble,7/8/2011,"$29,201",12,Elev.,12,"$62,027",/movies/?id=trigun2011.htm
The Trip,5/9/2003,"$13,774",1,TLA,9,"$306,567",/movies/?id=trip.htm
The Trip (2011),6/10/2011,"$77,904",6,IFC,62,"$2,030,962",/movies/?id=trip2011.htm
The Trip to Bountiful,12/20/1985,"$8,387",1,Isld,1,"$7,491,903",/movies/?id=triptobountiful.htm
The Trip to Italy,8/15/2014,"$71,712",3,IFC,199,"$2,880,537",/movies/?id=triptoitaly.htm
The Trip to Spain,8/11/2017,"$40,875",3,IFC,140,"$1,078,822",/movies/?id=thetriptospain.htm
A Trip to the Moon/The Extraordinary Voyage,2/10/2012,"$2,915",3,FA,6,"$52,986",/movies/?id=triptothemoon.htm
Triple 9,2/26/2016,"$6,109,085","2,205",ORF,"2,205","$12,639,297",/movies/?id=triplenine.htm
The Triplets of Belleville,11/26/2003,"$108,080",6,SPC,463,"$7,007,149",/movies/?id=tripletsofbelleville.htm
The Tripper,4/20/2007,"$20,840",50,Reel,50,"$20,840",/movies/?id=tripper.htm
Trippin',5/14/1999,"$2,527,909",777,Oct.,781,"$9,017,070",/movies/?id=trippin.htm
Trishna,7/13/2012,"$29,140",3,IFC,38,"$240,381",/movies/?id=trishna.htm
Tristan and Isolde,1/13/2006,"$6,583,135","1,845",Fox,"1,845","$14,734,633",/movies/?id=tristanandisolde.htm
Tristan und Isolde at La Scala,1/18/2008,"$2,676",2,Emr.,6,"$50,172",/movies/?id=tristanundisoldeatlascala.htm
Tristana (2012 re-release),10/12/2012,"$4,754",1,Cohen,2,"$14,586",/movies/?id=tristana2012.htm
Tristram Shandy: A Cock and Bull Story,1/27/2006,"$60,886",3,PicH,51,"$1,253,413",/movies/?id=cockandbullstory.htm
The Triumph of Love,4/17/2002,"$60,507",18,ParC,51,"$447,267",/movies/?id=triumphoflove.htm
Triumph of the Spirit,12/8/1989,"$33,963",3,Triu,40,"$408,839",/movies/?id=triumphofthespirit.htm
Triumph of the Wall,5/31/2013,$430,1,FRun,1,$476,/movies/?id=triumphofthewall.htm
Trixie,6/30/2000,"$41,620",7,Sony,27,"$295,683",/movies/?id=trixie.htm
Trog,10/24/1970,n/a,n/a,WB,n/a,n/a,/movies/?id=trog.htm
Trois,2/11/2000,"$200,815",20,Rain.,53,"$1,161,843",/movies/?id=trois.htm
Trojan Eddie,8/29/1997,"$11,867",2,Castle,2,"$21,264",/movies/?id=trojaneddie.htm
Trojan War,9/26/1997,$217,1,WB,1,$309,/movies/?id=trojanwar.htm
The Trojan Women,9/27/1971,n/a,n/a,CRC,n/a,n/a,/movies/?id=trojanwomen.htm
Troll,1/17/1986,"$2,595,054",959,EP,959,"$5,450,815",/movies/?id=troll.htm
A Troll in Central Park,10/7/1994,n/a,n/a,WB,n/a,"$71,368",/movies/?id=trollincentralpark.htm
Trollhunter,6/10/2011,"$5,585",1,Magn.,21,"$253,444",/movies/?id=trollhunter.htm
Trolls,11/4/2016,"$46,581,142","4,060",Fox,"4,066","$153,707,064",/movies/?id=trolls.htm
Trolls 2,4/10/2020,n/a,n/a,Uni.,n/a,n/a,/movies/?id=universalevent2020.htm
Tron,7/9/1982,"$4,761,795","1,091",BV,"1,112","$33,000,000",/movies/?id=tron.htm
Tron Legacy,12/17/2010,"$44,026,211","3,451",BV,"3,451","$172,062,763",/movies/?id=tron2.htm
Troop Beverly Hills,3/24/1989,"$2,283,443",964,Col.,964,"$8,508,843",/movies/?id=troopbeverlyhills.htm
Trophy,9/8/2017,"$3,522",1,Orch.,21,"$16,245",/movies/?id=trophy.htm
Tropic Thunder,8/13/2008,"$25,812,796","3,319",P/DW,"3,473","$110,515,313",/movies/?id=tropicthunder.htm
Tropical Malady,6/24/2005,$270,1,Strand,3,"$46,750",/movies/?id=tropicalmalady.htm
Trouble Along the Way,4/4/1953,n/a,n/a,WB,n/a,n/a,/movies/?id=troublealongtheway.htm
Trouble Every Day (2013 re-release),10/11/2013,"$2,984",1,FDesk,2,"$9,189",/movies/?id=troubleeveryday.htm
Trouble in Mind,12/11/1985,"$16,029",1,Aliv,1,"$19,632",/movies/?id=troubleinmind.htm
Trouble the Water,8/22/2008,"$28,606",3,Zeit.,15,"$520,151",/movies/?id=troublethewater.htm
The Trouble with Bliss,3/23/2012,"$4,618",1,7A,4,"$13,093",/movies/?id=troublewithbliss.htm
The Trouble with Harry,10/3/1955,n/a,n/a,Par.,n/a,n/a,/movies/?id=troublewithharry.htm
The Trouble with Men and Women,8/9/2006,$375,1,IFC,1,$967,/movies/?id=troublewithmenandwomen.htm
The Trouble with Terkel (2010),10/15/2010,"$3,972",2,Indic.,4,"$40,385*",/movies/?id=troublewithterkel.htm
The Trouble with Terkel (2017),2/3/2017,"$32,784",12,Indic.,12,"$110,289*",/movies/?id=troublewithterkel2017.htm
Trouble with the Curve,9/21/2012,"$12,162,040","3,212",WB,"3,212","$35,763,137",/movies/?id=troublewiththecurve.htm
Troublemakers: The Story of Land Art,1/8/2016,"$5,424",4,FRun,5,"$29,462",/movies/?id=troublemakers.htm
Troublesome Creek: A Midwestern,1/3/1997,"$8,318",1,AL,8,"$140,000",/movies/?id=troublesomecreek.htm
Troy,5/14/2004,"$46,865,412","3,411",WB,"3,411","$133,378,256",/movies/?id=troy.htm
Tru Loved,10/17/2008,"$1,678",2,Reg.,4,"$9,467",/movies/?id=truloved.htm
Trucker,10/9/2009,"$9,458",10,Mont.,13,"$52,429",/movies/?id=trucker.htm
Truckers (working title),TBD,n/a,n/a,P/DW,n/a,n/a,/movies/?id=truckers.htm
Trudell,2/3/2006,"$1,592",1,Bal.,5,"$26,756",/movies/?id=trudell.htm
True Believer,2/17/1989,"$3,009,692",897,Col.,897,"$8,742,750",/movies/?id=truebeliever.htm
True Colors,3/15/1991,"$59,517",6,Par.,9,"$418,807",/movies/?id=truecolors.htm
True Confessions,9/25/1981,n/a,n/a,MGM,n/a,"$12,850,276",/movies/?id=trueconfessions.htm
True Crime,3/19/1999,"$5,276,109","1,852",WB,"1,852","$16,649,768",/movies/?id=truecrime.htm
True Friends,1/30/1998,n/a,n/a,2Gen,n/a,"$12,231",/movies/?id=truefriends.htm
True Grit,12/22/2010,"$24,830,443","3,047",Par.,"3,464","$171,243,005",/movies/?id=truegrit2010.htm
True Grit (1969),6/11/1969,n/a,n/a,Par.,n/a,n/a,/movies/?id=truegrit.htm
True Identity,8/23/1991,"$1,541,581",824,BV,824,"$4,693,236",/movies/?id=trueidentity.htm
True Lies,7/15/1994,"$25,869,770","2,368",Fox,"2,561","$146,282,411",/movies/?id=truelies.htm
True Love,9/15/1989,n/a,n/a,MGM,n/a,"$1,354,268",/movies/?id=truelove.htm
True Romance,9/10/1993,"$4,023,420","1,254",WB,"1,254","$12,281,551",/movies/?id=trueromance.htm
True Stories,10/10/1986,n/a,n/a,WB,n/a,"$2,545,142",/movies/?id=truestories.htm
True Story,4/17/2015,"$1,950,214",831,FoxS,856,"$4,719,695",/movies/?id=truestory.htm
The True Story of Jesse James,3/22/1957,n/a,n/a,Fox,n/a,n/a,/movies/?id=truestoryofjessejames.htm
"Truly, Madly, Deeply",5/3/1991,"$4,009",1,Gold.,48,"$1,554,742",/movies/?id=trulymadlydeeply.htm
Truman,4/7/2017,"$18,258",3,FR,22,"$210,840",/movies/?id=truman.htm
The Truman Show,6/5/1998,"$31,542,121","2,315",Par.,"2,911","$125,618,201",/movies/?id=trumanshow.htm
Trumbo,6/27/2008,"$28,125",3,Gold.,6,"$109,057",/movies/?id=trumbo.htm
Trumbo (2015),11/6/2015,"$74,177",5,BST,660,"$7,857,741",/movies/?id=trumbo2015.htm
The Trumpet of the Swan,5/11/2001,"$102,202",125,Sony,125,"$102,202",/movies/?id=trumpetoftheswam.htm
Trust,7/26/1991,n/a,n/a,FL,n/a,"$356,122",/movies/?id=trust.htm
Trust (2011),4/1/2011,"$58,214",28,MNE,28,"$120,016",/movies/?id=trust2011.htm
Trust Fund,1/8/2016,"$18,023",4,Trans,4,"$36,885",/movies/?id=trustfund.htm
Trust Me,6/6/2014,n/a,n/a,SM,n/a,n/a,/movies/?id=trustme.htm
Trust the Man,8/18/2006,"$180,271",38,FoxS,260,"$1,530,535",/movies/?id=trusttheman.htm
Truth,10/16/2015,"$66,232",6,SPC,"1,122","$2,541,854",/movies/?id=truth.htm
The Truth About Cats & Dogs,4/26/1996,"$6,769,363","1,413",Fox,"1,654","$34,861,807",/movies/?id=truthaboutcatsanddogs.htm
The Truth About Charlie,10/25/2002,"$2,270,290",753,Uni.,755,"$5,350,371",/movies/?id=truthaboutcharlie.htm
The Truth About Emanuel,1/10/2014,n/a,10,Trib.,11,"$4,404",/movies/?id=truthaboutemanuel.htm
"Truth or Consequences, N.M.",5/2/1997,"$19,528",7,Sony,7,"$109,261",/movies/?id=truthorconsequencesnm.htm
Trying to Get Good: The Jazz Odyssey of Jack Sheldon,5/30/2008,"$4,792",1,Reel,1,"$19,712",/movies/?id=tryingtogetgood.htm
Tsahal,1/27/1995,"$12,195",1,NYer,1,"$38,773",/movies/?id=tsahal.htm
Tsotsi,2/24/2006,"$76,324",6,Mira.,122,"$2,912,606",/movies/?id=tsotsi.htm
Tu Dors Nicole,5/29/2015,n/a,n/a,Kino,1,"$5,662",/movies/?id=tudorsnicole.htm
Tubelight,6/23/2017,"$930,058",338,Yash,338,"$930,058",/movies/?id=tubelight.htm
Tuck Everlasting,10/11/2002,"$5,268,764","1,185",BV,"1,460","$19,161,999",/movies/?id=tuckeverlasting.htm
Tucker & Dale Vs. Evil,9/30/2011,"$52,843",30,Magn.,44,"$223,838",/movies/?id=tuckeranddalevsevil.htm
Tucker: The Man and His Dream,8/12/1988,"$3,709,562",720,Par.,720,"$19,652,638",/movies/?id=tuckerthemanandhisdream.htm
"Tuesday, After Christmas",5/25/2011,"$6,472",1,Lorb.,2,"$27,813",/movies/?id=tuesdayafterchristmas.htm
Tuff Turf,1/11/1985,"$1,509,380",440,Orion,653,"$9,369,329",/movies/?id=tuffturf.htm
Tulip Fever,9/1/2017,"$1,158,017",765,Wein.,772,"$2,380,674",/movies/?id=tulipfever.htm
Tully,11/1/2002,"$21,162",6,SmlP,13,"$466,664",/movies/?id=tully.htm
Tully (2018),4/20/2018,n/a,n/a,Focus,n/a,n/a,/movies/?id=tully2018.htm
Tulpan,4/1/2009,"$8,620",1,Zeit.,4,"$158,741",/movies/?id=tulpan.htm
Tumbledown,2/5/2016,"$7,331",2,SM,55,"$135,026",/movies/?id=tumbledown.htm
Tumbleweeds,11/26/1999,"$80,030",31,FL,307,"$1,350,248",/movies/?id=tumbleweeds.htm
Tune in Tomorrow,10/26/1990,"$62,747",7,Cinc,207,"$1,794,001",/movies/?id=tuneintomorrow.htm
Tunnel,8/26/2016,"$172,521",36,WGUSA,36,"$568,876",/movies/?id=tunnel2016.htm
The Tunnel,4/27/2005,"$3,127",2,Avat.,2,"$46,296",/movies/?id=tunnel.htm
The Tunnel (2011),8/5/2011,$507,1,BR,1,"$1,532",/movies/?id=tunnel11.htm
Tupac: Resurrection,11/14/2003,"$4,632,847",801,Par.,804,"$7,718,961",/movies/?id=tupacresurrection.htm
The Turandot Project,8/10/2001,"$7,877",2,Zeit.,3,"$33,504",/movies/?id=turandotproject.htm
Turbo,7/17/2013,"$21,312,625","3,806",Fox,"3,809","$83,028,128",/movies/?id=turbo.htm
Turbo Kid,8/28/2015,"$31,428",26,EpicPics,31,"$67,132",/movies/?id=turbokid.htm
Turbo: A Power Rangers Movie,3/28/1997,"$3,301,135","2,113",Fox,"2,113","$8,363,899",/movies/?id=turboapowerrangersmovie.htm
Turbulence,1/10/1997,"$4,464,008","2,094",MGM,"2,094","$11,538,235",/movies/?id=turbulence.htm
The Turin Horse,2/10/2012,"$9,145",1,CGld,3,"$56,391",/movies/?id=turinhorse.htm
Turistas,12/1/2006,"$3,582,554","1,570",FoxA,"1,572","$7,027,762",/movies/?id=turistas.htm
Turk 182,2/15/1985,"$1,589,234",792,Fox,801,"$3,594,997",/movies/?id=turk182.htm
Turn It Around: The Story of East Bay Punk,7/28/2017,"$5,211",1,Abr.,3,"$69,787",/movies/?id=turnitaround.htm
Turn It Up,9/8/2000,"$576,820",661,NL,661,"$1,247,949",/movies/?id=turnitup.htm
"Turn Me On, Dammit!",3/30/2012,"$10,145",2,NYer,5,"$126,085",/movies/?id=turnmeondammit.htm
Turn the River,5/9/2008,"$2,722",1,Scre.,2,"$5,149",/movies/?id=turntheriver.htm
Turner & Hooch,7/28/1989,"$12,211,042","1,877",BV,"1,888","$71,079,915",/movies/?id=turnerandhooch.htm
The Turning Point,11/14/1977,n/a,n/a,Fox,n/a,"$25,933,445",/movies/?id=turningpoint.htm
Turtle Beach,5/1/1992,"$350,951",727,WB,727,"$778,535",/movies/?id=turtlebeach.htm
Turtle Diary,2/14/1986,"$40,115",2,Gold.,40,"$2,156,772",/movies/?id=turtlediary.htm
Turtle: The Incredible Journey,6/24/2011,"$69,389",24,Hann.,24,"$386,073",/movies/?id=turtle.htm
Turtles Can Fly,2/18/2005,"$23,326",4,IFC,16,"$258,578",/movies/?id=turtlescanfly.htm
Tusk,9/19/2014,"$846,831",602,A24,602,"$1,826,705",/movies/?id=tusk.htm
Tuvalu,4/27/2001,"$31,008",8,Indic.,8,"$411,678",/movies/?id=tuvalu.htm
The Tuxedo,9/27/2002,"$15,051,028","3,022",DW,"3,022","$50,547,998",/movies/?id=tuxedo.htm
Tuya's Marriage,4/4/2008,"$2,619",1,MBox,5,"$88,148",/movies/?id=tuyasmarriage.htm
The TV Set,4/6/2007,"$34,531",8,Think,19,"$265,198",/movies/?id=tvset.htm
Twelfth Night,10/25/1996,"$33,451",5,FL,31,"$588,621",/movies/?id=twelfthnight.htm
Twelve,8/6/2010,"$110,238",231,Hann.,231,"$183,920",/movies/?id=twelve.htm
Twelve and Holding,5/19/2006,"$11,456",3,IFC,15,"$96,464",/movies/?id=twelveandholding.htm
Twelve O'Clock High,1/26/1950,n/a,n/a,Fox,n/a,n/a,/movies/?id=twelveoclockhigh.htm
Twelve Thirty,1/14/2011,n/a,1,1230,1,n/a,/movies/?id=twelvethirty.htm
Twenty (2015),4/17/2015,n/a,n/a,CJ,25,"$136,125",/movies/?id=twenty2015.htm
Twenty Bucks,10/22/1993,"$30,667",8,Trit,8,"$89,558",/movies/?id=twentybucks.htm
Twenty Two,9/8/2017,"$22,222",11,CL,11,"$46,796",/movies/?id=twentytwo.htm
Twenty-One,10/4/1991,"$46,183",15,Trit,24,"$256,521",/movies/?id=twentyone.htm
Twentyfourseven,4/15/1998,"$5,522",1,Oct.,17,"$91,805",/movies/?id=twentyfourseven.htm
Twentynine Palms,4/9/2004,"$12,870",2,Wells,3,"$54,523",/movies/?id=twentyninepalms.htm
Twice Born,12/6/2013,"$14,947",10,EOne,10,"$18,295",/movies/?id=twiceborn.htm
Twice in a Lifetime,10/25/1985,"$1,036,429",189,Bud,436,"$8,402,424",/movies/?id=twiceinalifetime.htm
Twice Upon a Yesterday,5/28/1999,"$17,620",6,Trim.,47,"$279,757",/movies/?id=twiceuponayesterday.htm
Twilight,11/21/2008,"$69,637,740","3,419",Sum.,"3,649","$192,769,854",/movies/?id=twilight08.htm
Twilight (1998),3/6/1998,"$5,866,411","1,351",Par.,"1,354","$15,055,091",/movies/?id=twilight.htm
The Twilight Saga: Breaking Dawn Part 1,11/18/2011,"$138,122,261","4,061",Sum.,"4,066","$281,287,133",/movies/?id=breakingdawn.htm
The Twilight Saga: Breaking Dawn Part 2,11/16/2012,"$141,067,634","4,070",LG/S,"4,070","$292,324,737",/movies/?id=breakingdawn2.htm
The Twilight Saga: Eclipse,6/30/2010,"$64,832,191","4,468",Sum.,"4,468","$300,531,751",/movies/?id=eclipse.htm
The Twilight Saga: New Moon,11/20/2009,"$142,839,137","4,024",Sum.,"4,124","$296,623,634",/movies/?id=newmoon.htm
Twilight Samurai,4/23/2004,"$8,573",1,Emp.,16,"$559,765",/movies/?id=twilightsamurai.htm
Twilight Zone: The Movie,6/24/1983,"$6,614,366","1,275",WB,"1,288","$29,450,919",/movies/?id=twilightzone.htm
Twilight/New Moon Combo (one-night-only),6/29/2010,n/a,n/a,Sum.,"2,037","$2,385,237",/movies/?id=twilightnewmooncombo.htm
Twin Dragons,4/9/1999,"$2,829,990","1,129",Mira.,"1,131","$8,359,717",/movies/?id=twindragons.htm
"Twin Falls, Idaho",7/30/1999,"$49,849",6,SPC,54,"$985,341",/movies/?id=twinfallsidaho.htm
Twin Peaks Fire Walk with Me,8/28/1992,"$1,813,559",691,NL,692,"$4,160,851",/movies/?id=twinpeaksfirewalkwithme.htm
Twin Sisters,5/6/2005,"$1,207",1,Mira.,1,"$1,563",/movies/?id=twinsisters.htm
Twin Town,5/9/1997,"$6,827",1,Gram.,18,"$127,923",/movies/?id=twintown.htm
Twins,12/9/1988,"$11,174,980","1,396",Uni.,"1,659","$111,938,388",/movies/?id=twins.htm
Twist,5/21/2004,"$3,887",1,Strand,4,"$47,370",/movies/?id=twist.htm
Twist (1993),7/16/1993,"$1,589",1,Trit,6,"$36,875",/movies/?id=twist93.htm
Twist of Faith,7/1/2005,"$2,085",2,AL,2,"$8,129",/movies/?id=twistoffaith.htm
Twisted,2/27/2004,"$8,904,299","2,703",Par.,"2,704","$25,198,598",/movies/?id=twisted.htm
Twisted: A Balloonamentary,5/23/2008,"$2,354",1,N/A,2,"$4,218",/movies/?id=twistedballoonamentary.htm
Twister,5/10/1996,"$41,059,405","2,414",WB,"2,808","$241,721,524",/movies/?id=twister.htm
Twister (1990),8/8/1990,"$9,864",2,Grey,2,"$33,455",/movies/?id=twister90.htm
Two Bits,11/22/1995,"$9,299",2,Mira.,2,"$26,282",/movies/?id=twobits.htm
Two Brothers,6/25/2004,"$6,144,160","2,175",Uni.,"2,181","$19,176,754",/movies/?id=twobrothers.htm
Two by Scorsese (re-issue),1/21/2005,"$3,845",1,Kino,1,"$9,395",/movies/?id=twobyscorsese.htm
Two by Two,TBD,n/a,n/a,N/A,n/a,n/a,/movies/?id=twobytwo.htm
Two Can Play That Game,9/7/2001,"$7,720,942","1,297",SGem,"1,308","$22,235,901",/movies/?id=twocanplaythatgame.htm
"Two Days, One Night",12/24/2014,"$30,700",2,IFC,120,"$1,436,243",/movies/?id=twodaysonenight.htm
Two Deaths,5/24/1996,n/a,n/a,Castle,n/a,n/a,/movies/?id=twodeaths.htm
Two Drifters,6/23/2006,"$5,289",1,Strand,1,"$24,452",/movies/?id=twodrifters.htm
The Two Escobars,8/27/2010,n/a,n/a,ARF,1,"$14,457",/movies/?id=twoescobars.htm
Two Evil Eyes,10/25/1991,"$260,410",150,Tau,150,"$349,618",/movies/?id=twoevileyes.htm
The Two Faces of January,9/26/2014,"$43,116",6,Magn.,59,"$507,463",/movies/?id=twofacesofjanuary.htm
Two Family House,10/6/2000,"$137,853",65,Lions,65,"$1,015,122",/movies/?id=twofamilyhouse.htm
Two for the Money,10/7/2005,"$8,703,240","2,391",Uni.,"2,397","$22,991,379",/movies/?id=twoforthemoney.htm
Two Girls and a Guy,4/24/1998,"$649,423",316,FoxS,316,"$2,057,193",/movies/?id=twogirlsandaguy.htm
Two Girls in Love,6/16/1995,n/a,n/a,FL,n/a,"$2,210,408",/movies/?id=twogirlsinlove.htm
Two If by Sea,1/12/1996,"$4,656,986","1,712",WB,"1,796","$10,658,278",/movies/?id=twoifbysea.htm
Two in the Wave,5/19/2010,"$5,676",1,Lorb.,1,"$28,808",/movies/?id=twointhewave.htm
The Two Jakes,8/10/1990,"$3,729,149","1,206",Par.,"1,206","$10,005,969",/movies/?id=twojakes.htm
Two Lives,2/28/2014,"$1,303",1,IFC,1,"$22,620",/movies/?id=twolives.htm
Two Lovers,2/13/2009,"$94,986",7,Magn.,148,"$3,149,034",/movies/?id=twolovers.htm
Two Men Went to War,3/26/2004,"$10,672",4,Indic.,4,"$150,208",/movies/?id=twomenwenttowar.htm
Two Moon Junction,4/29/1988,"$558,908",458,Lori,458,"$1,547,397",/movies/?id=twomoonjunction.htm
Two Much,3/15/1996,"$592,871",348,BV,348,"$1,141,556",/movies/?id=twomuch.htm
Two Mules for Sister Sara,6/16/1970,n/a,n/a,Uni.,n/a,"$5,050,000",/movies/?id=twomulesforsistersara.htm
Two Night Stand,9/26/2014,"$15,600",5,EOne,5,"$18,612",/movies/?id=twonightstand.htm
Two Ninas,1/26/2001,"$10,976",6,Castle,6,"$14,725",/movies/?id=twoninas.htm
Two of a Kind,12/16/1983,"$3,344,942","1,244",Fox,"1,278","$23,646,952",/movies/?id=twoofakind.htm
The Two of Us,5/27/2005,"$5,255",1,Rialto,2,"$56,558",/movies/?id=twoofus.htm
Two or Three Things I Know About Her (re-issue),11/17/2006,"$11,214",1,Rialto,2,"$104,038",/movies/?id=twoorthreethingsiknowabouther.htm
The Two Towers (Re-issue),12/12/2003,"$727,645",126,NL,126,"$1,996,877*",/movies/?id=twotowers03.htm
Two Weeks,12/1/2006,n/a,1,MGM,12,"$47,986",/movies/?id=twoweeks.htm
Two Weeks Notice,12/20/2002,"$14,328,494","2,755",WB,"2,755","$93,354,851",/movies/?id=twoweeksnotice.htm
Two-Bit Waltz,10/24/2014,$136,1,Mont.,3,"$2,540",/movies/?id=twobitwaltz.htm
Tycoon,12/27/1947,n/a,n/a,RKO,n/a,n/a,/movies/?id=tycoon47.htm
Tycoon (2003),6/13/2003,"$13,342",2,NYer,3,"$123,159",/movies/?id=tycoon.htm
Tying the Knot,10/1/2004,"$24,517",8,IDP,8,"$40,576",/movies/?id=tyingtheknot.htm
Tyler Perry Presents Peeples,5/10/2013,"$4,611,534","2,041",LGF,"2,041","$9,177,065",/movies/?id=wethepeeples.htm
Tyler Perry's A Madea Christmas,12/13/2013,"$16,007,634","2,194",LGF,"2,194","$52,543,354",/movies/?id=madeachristmas.htm
Tyler Perry's A Madea Family Funeral,8/3/2018,n/a,n/a,LGF,n/a,n/a,/movies/?id=tylerperrysamadeafamilyfuneral.htm
Tyler Perry's Acrimony,3/30/2018,n/a,n/a,LGF,n/a,n/a,/movies/?id=tylerperrysshe'slivingmylife.htm
Tyler Perry's Boo 2! A Madea Halloween,10/20/2017,n/a,n/a,LGF,n/a,n/a,/movies/?id=amadeahalloween2.htm
Tyler Perry's Daddy's Little Girls,2/14/2007,"$11,210,754","2,111",LGF,"2,111","$31,366,978",/movies/?id=daddyslittlegirls.htm
Tyler Perry's Diary of a Mad Black Woman,2/25/2005,"$21,905,089","1,483",Lions,"1,703","$50,633,099",/movies/?id=diaryofamadblackwoman.htm
Tyler Perry's Good Deeds,2/24/2012,"$15,583,924","2,132",LGF,"2,132","$35,025,791",/movies/?id=gooddeeds.htm
Tyler Perry's I Can Do Bad All By Myself,9/11/2009,"$23,446,785","2,255",LGF,"2,255","$51,733,921",/movies/?id=icandobadallbymyself.htm
Tyler Perry's Madea Goes to Jail,2/20/2009,"$41,030,947","2,032",LGF,"2,203","$90,508,336",/movies/?id=madeagoestojail.htm
Tyler Perry's Madea's Big Happy Family,4/22/2011,"$25,068,677","2,288",LGF,"2,288","$53,345,287",/movies/?id=madeasbighappyfamily.htm
Tyler Perry's Madea's Family Reunion,2/24/2006,"$30,030,661","2,194",LGF,"2,194","$63,257,940",/movies/?id=madeasfamilyreunion.htm
Tyler Perry's Madea's Witness Protection,6/29/2012,"$25,390,575","2,161",LGF,"2,161","$65,653,242",/movies/?id=madeaswitnessprotection.htm
Tyler Perry's Meet the Browns,3/21/2008,"$20,082,809","2,006",LGF,"2,016","$41,975,388",/movies/?id=meetthebrowns.htm
Tyler Perry's Temptation: Confessions of a Marriage Counselor,3/29/2013,"$21,641,679","2,047",LGF,"2,047","$51,975,354",/movies/?id=marriagecounselor.htm
Tyler Perry's The Family That Preys,9/12/2008,"$17,381,218","2,070",LGF,"2,070","$37,105,289",/movies/?id=familythatpreys.htm
Tyler Perry's The Single Moms Club,3/14/2014,"$8,075,111","1,896",LGF,"1,896","$15,973,881",/movies/?id=singlemomsclub.htm
Tyler Perry's Why Did I Get Married Too?,4/2/2010,"$29,289,537","2,155",LGF,"2,155","$60,095,852",/movies/?id=whydidigetmarriedtoo.htm
Tyler Perry's Why Did I Get Married?,10/12/2007,"$21,353,789","2,011",LGF,"2,034","$55,204,525",/movies/?id=whydidigetmarried.htm
Typhoon,6/2/2006,"$59,409",24,ParC,24,"$139,059",/movies/?id=typhoon.htm
Tyrannosaur,11/18/2011,"$7,635",5,Strand,5,"$22,321",/movies/?id=tyrannosaur.htm
Tyson,4/24/2009,"$85,046",11,SPC,56,"$887,918",/movies/?id=tyson.htm
U Me Aur Hum,4/11/2008,"$642,923",89,Eros,89,"$1,028,191",/movies/?id=umeaurhum.htm
U Want Me to Kill Him?,3/14/2014,n/a,n/a,Trib.,n/a,n/a,/movies/?id=uwantmetokillhim.htm
U-571,4/21/2000,"$19,553,310","2,583",Uni.,"2,820","$77,122,415",/movies/?id=u-571.htm
U-Turn,10/3/1997,"$2,730,440","1,230",Sony,"1,311","$6,682,098",/movies/?id=u-turn.htm
U.S. Marshals,3/6/1998,"$16,863,988","2,817",WB,"2,817","$57,167,405",/movies/?id=usmarshals.htm
The U.S. Vs. John Lennon,9/15/2006,"$69,143",6,LGF,65,"$1,109,146",/movies/?id=usvsjohnlennon.htm
U2 3D,1/23/2008,"$964,315",61,NGE,686,"$10,363,341",/movies/?id=u23d.htm
U2: Rattle and Hum,11/4/1988,"$3,821,351","1,391",Par.,"1,391","$8,600,823",/movies/?id=u2rattleandhum.htm
Udaan,7/16/2010,"$2,715",2,UTV,2,"$7,461",/movies/?id=udaan.htm
Ugetsu (2017 re-release),3/1/2017,"$6,154",1,Jan.,1,"$11,197",/movies/?id=ugetsu2017.htm
Ugly Me,2/8/2008,n/a,26,ArcA.,26,"$53,250",/movies/?id=uglyme.htm
The Ugly Truth,7/24/2009,"$27,605,576","2,882",Sony,"2,975","$88,915,214",/movies/?id=uglytruth.htm
"Ugly, Dirty and Bad (Re-Release)",10/21/2016,"$4,898",1,FM,3,"$7,144",/movies/?id=uglydirtyandbadre.htm
Uglydolls,5/10/2019,n/a,n/a,STX,n/a,n/a,/movies/?id=uglydolls.htm
